# Format: ydoy, sod, sat, mw_value, mw_mean, mw_sigma, cs_by_mw(0/1), cs_by_gf(0/1), is_outlier(0/1)
2025,1,0.000,C01,15.191,15.050,0.230,0,0,0
2025,1,30.000,C01,15.106,15.050,0.230,0,0,0
2025,1,60.000,C01,15.399,15.050,0.230,0,0,0
2025,1,90.000,C01,15.274,15.050,0.230,0,0,0
2025,1,120.000,C01,15.000,15.050,0.230,0,0,0
2025,1,150.000,C01,15.011,15.050,0.230,0,0,0
2025,1,180.000,C01,15.341,15.050,0.230,0,0,0
2025,1,210.000,C01,15.301,15.050,0.230,0,0,0
2025,1,240.000,C01,15.377,15.050,0.230,0,0,0
2025,1,270.000,C01,15.219,15.050,0.230,0,0,0
2025,1,300.000,C01,15.190,15.050,0.230,0,0,0
2025,1,330.000,C01,15.108,15.050,0.230,0,0,0
2025,1,360.000,C01,15.151,15.050,0.230,0,0,0
2025,1,390.000,C01,15.226,15.050,0.230,0,0,0
2025,1,420.000,C01,15.035,15.050,0.230,0,0,0
2025,1,450.000,C01,15.149,15.050,0.230,0,0,0
2025,1,480.000,C01,15.130,15.050,0.230,0,0,0
2025,1,510.000,C01,15.131,15.050,0.230,0,0,0
2025,1,540.000,C01,15.081,15.050,0.230,0,0,0
2025,1,570.000,C01,15.105,15.050,0.230,0,0,0
2025,1,600.000,C01,15.305,15.050,0.230,0,0,0
2025,1,630.000,C01,15.056,15.050,0.230,0,0,0
2025,1,660.000,C01,15.005,15.050,0.230,0,0,0
2025,1,690.000,C01,15.111,15.050,0.230,0,0,0
2025,1,720.000,C01,14.981,15.050,0.230,0,0,0
2025,1,750.000,C01,14.983,15.050,0.230,0,0,0
2025,1,780.000,C01,15.143,15.050,0.230,0,0,0
2025,1,810.000,C01,15.316,15.050,0.230,0,0,0
2025,1,840.000,C01,15.326,15.050,0.230,0,0,0
2025,1,870.000,C01,15.111,15.050,0.230,0,0,0
2025,1,900.000,C01,15.081,15.050,0.230,0,0,0
2025,1,930.000,C01,14.908,15.050,0.230,0,0,0
2025,1,960.000,C01,15.108,15.050,0.230,0,0,0
2025,1,990.000,C01,14.626,15.050,0.230,0,0,0
2025,1,1020.000,C01,15.097,15.050,0.230,0,0,0
2025,1,1050.000,C01,15.111,15.050,0.230,0,0,0
2025,1,1080.000,C01,15.164,15.050,0.230,0,0,0
2025,1,1110.000,C01,15.168,15.050,0.230,0,0,0
2025,1,1140.000,C01,15.130,15.050,0.230,0,0,0
2025,1,1170.000,C01,15.205,15.050,0.230,0,0,0
2025,1,1200.000,C01,15.070,15.050,0.230,0,0,0
2025,1,1230.000,C01,15.097,15.050,0.230,0,0,0
2025,1,1260.000,C01,15.110,15.050,0.230,0,0,0
2025,1,1290.000,C01,14.997,15.050,0.230,0,0,0
2025,1,1320.000,C01,15.063,15.050,0.230,0,0,0
2025,1,1350.000,C01,15.090,15.050,0.230,0,0,0
