time x y z T0
347310.0000000000 -1132914.7166263168 6092519.6629347671 1504628.6558568063 1895.0817764907
347340.0000000000 -1132915.5902847638 6092518.8268368896 1504627.8534896818 2224.7450868191
347370.0000000000 -1132915.0501302246 6092515.5071436027 1504628.9010527506 3196.3518600094
347400.0000000000 -1132914.4191430188 6092516.8048316790 1504627.4417150212 3173.2787379028
347430.0000000000 -1132914.0665566935 6092517.4865494184 1504626.7823263581 2885.6622403368
347460.0000000000 -1132913.4267479987 6092518.5794642577 1504628.2022075613 2858.1019764826
347490.0000000000 -1132914.5576698354 6092517.8035138305 1504628.9755861498 3554.9043082889
347520.0000000000 -1132913.5560240129 6092515.4520189669 1504627.7908786975 2991.7028572848
347550.0000000000 -1132913.8600782908 6092516.2065297589 1504627.2805441092 4890.2018717654
347580.0000000000 -1132914.0792478065 6092517.4943672661 1504627.5812650321 4694.4463954246
347610.0000000000 -1132913.1952884197 6092513.3532641800 1504627.4153886717 5559.2365635568
347640.0000000000 -1132914.4176010888 6092516.2181153977 1504627.0368137180 5770.4948275946
347670.0000000000 -1132914.6058721966 6092516.2326274272 1504626.9583946636 6893.6284021307
347700.0000000000 -1132913.9793920200 6092516.4837371474 1504627.2915118460 5144.6517563520
347730.0000000000 -1132912.6882318016 6092512.9899525754 1504626.9032366856 8104.7666208941
347760.0000000000 -1132913.9524372686 6092513.8210401209 1504626.4578540300 9302.0099920623
347790.0000000000 -1132914.3079746524 6092514.3636220992 1504627.3786878227 7835.7969673864
347820.0000000000 -1132913.7981004666 6092512.2907405337 1504626.4825715928 9817.1780227486
347850.0000000000 -1132914.1722418582 6092514.1081862571 1504626.9884421632 8439.4984778213
347880.0000000000 -1132913.9644053702 6092512.6658879695 1504626.7239509486 8806.7382063408
347910.0000000000 -1132914.2649006536 6092512.6593797039 1504626.4785704273 13730.3356373853
347940.0000000000 -1132914.2675517297 6092514.3689592034 1504626.1430454575 11284.0112042986
347970.0000000000 -1132913.4754918527 6092513.2659436036 1504624.7071897341 15002.6055964126
348000.0000000000 -1132916.1476668678 6092528.7698595515 1504632.2357343799 7.4471254281
348030.0000000000 -1132915.2808534384 6092529.2957888441 1504632.1272611574 14.1518599186
348060.0000000000 -1132914.9049868893 6092526.8948469060 1504632.6946334501 19.3385324894
348090.0000000000 -1132915.1753821154 6092528.1338075073 1504632.2801181634 19.9611336506
348120.0000000000 -1132914.5673119465 6092527.5854326440 1504633.0595495047 5.9387839934
348150.0000000000 -1132916.1985961127 6092528.2436989956 1504632.1061794439 8.3136849939
348180.0000000000 -1132915.0639267359 6092529.3512554886 1504632.4764616634 5.4886738079
348210.0000000000 -1132915.6322004118 6092529.5095066223 1504632.7924318248 0.6809365660
348240.0000000000 -1132915.4559011001 6092526.8010179009 1504631.5592761212 41.7095601213
348270.0000000000 -1132915.7489107780 6092527.6356502697 1504632.2349005062 3.2937726094
348300.0000000000 -1132915.0802025248 6092526.2033303985 1504631.7828198362 46.2399566512
348330.0000000000 -1132914.6033154260 6092526.2009793678 1504632.8573995300 12.3937149445
348360.0000000000 -1132915.4694220631 6092529.4331461992 1504632.5528317343 4.0627269281
348390.0000000000 -1132915.0020911191 6092527.4710622691 1504632.2339087951 2.2328688292
348420.0000000000 -1132915.9722091048 6092527.7904429212 1504631.4895372272 10.7747711656
348450.0000000000 -1132915.1713876880 6092527.7696739202 1504632.0485499387 27.3580064160
348480.0000000000 -1132915.3352070437 6092529.2519434560 1504632.3738253450 11.3912646872
348510.0000000000 -1132915.0563839872 6092527.2752601374 1504632.6831572040 1.8449077911
348540.0000000000 -1132915.1556372470 6092527.4277738761 1504631.7540014188 5.8980079594
348570.0000000000 -1132915.3842927734 6092527.2701249979 1504632.3617237117 1.0102494233
348600.0000000000 -1132915.2759201410 6092529.5241395999 1504632.8168123220 5.5721981350
348630.0000000000 -1132915.4533533542 6092526.8402546830 1504631.9408724706 14.8146382098
348660.0000000000 -1132915.2295587629 6092528.6208541421 1504632.8044563471 3.2181230297
348690.0000000000 -1132915.6587863744 6092528.6576987309 1504633.3331653760 13.6365213912
348720.0000000000 -1132915.4634915711 6092524.8754314240 1504632.4428176638 106.2927471125
348750.0000000000 -1132915.2494457099 6092527.4538837355 1504632.7827524277 7.4293097496
348780.0000000000 -1132915.4352728119 6092527.8584268810 1504632.6594501203 4.6813446188
348810.0000000000 -1132915.3259754013 6092528.9434070066 1504633.0644240093 7.3789116335
348840.0000000000 -1132915.1354923705 6092529.3197292406 1504632.5159177752 4.3410889735
348870.0000000000 -1132914.4995542958 6092527.4284028988 1504632.6841975206 18.9507995535
348900.0000000000 -1132914.4249228698 6092525.9662474599 1504632.0402664787 9.8149650995
348930.0000000000 -1132915.4667761312 6092529.9262853963 1504632.7105734970 4.8434591314
348960.0000000000 -1132914.7025259046 6092527.4692543969 1504632.0669662463 5.3365317135
348990.0000000000 -1132915.1664240758 6092527.3882291596 1504632.6143895825 2.8138973284
349020.0000000000 -1132914.7928216790 6092528.2089310698 1504632.5662723286 3.0158307534
349050.0000000000 -1132915.7033280928 6092526.8401564062 1504632.9146210577 4.9582117051
349080.0000000000 -1132915.0066384948 6092527.0045044087 1504632.3436168267 9.4400673083
349110.0000000000 -1132914.3717268789 6092527.2874196088 1504633.0397008262 2.0358623298
349140.0000000000 -1132914.0791744096 6092526.5501938099 1504632.7460164230 1.4024846359
349170.0000000000 -1132914.1469558231 6092527.0907423627 1504631.9243411003 7.3538775304
349200.0000000000 -1132915.1989136680 6092528.7438657451 1504632.7094130011 2.0864862561
349230.0000000000 -1132916.0648513648 6092529.9047356956 1504632.1326328581 6.2987000282
349260.0000000000 -1132915.4933818609 6092528.5524717253 1504632.3262520698 6.7956063867
349290.0000000000 -1132915.1185053161 6092528.3616658710 1504632.5403080026 18.2021051859
349320.0000000000 -1132915.3974435269 6092527.2160298740 1504632.8515048455 28.2706247698
349350.0000000000 -1132915.2664122211 6092528.9551604195 1504632.7269381105 4.1867721127
349380.0000000000 -1132915.0575429753 6092529.3203288149 1504631.8572937015 22.8741673334
349410.0000000000 -1132915.0530163709 6092528.3974413136 1504632.2782773101 7.1256706653
349440.0000000000 -1132915.2066900418 6092528.7354258355 1504632.9368186169 3.0968712868
349470.0000000000 -1132915.4284912383 6092527.8124532029 1504632.3437694632 12.1185067542
349500.0000000000 -1132915.1098669483 6092528.0394604793 1504632.1121415833 5.1156379739
349530.0000000000 -1132915.2897486598 6092528.7088272655 1504631.9892936321 9.6235602154
349560.0000000000 -1132914.6443419319 6092528.4394889660 1504632.0289048993 16.0871750001
349590.0000000000 -1132915.1805620226 6092527.5283021266 1504631.5565048484 8.1166162802
349620.0000000000 -1132916.1342088578 6092530.1709560100 1504632.5870482139 3.6762524891
349650.0000000000 -1132916.0501160198 6092528.2433020966 1504632.5437576356 20.9775451328
349680.0000000000 -1132915.1126139592 6092526.2116082348 1504632.0750478855 20.2439824095
349710.0000000000 -1132916.0206695013 6092528.1868393915 1504632.2831604439 25.0705316182
349740.0000000000 -1132915.0717419344 6092528.3946046671 1504631.9902644409 14.5493080789
349770.0000000000 -1132915.3369520400 6092529.8371048607 1504632.4586250302 1.8728143910
349800.0000000000 -1132915.9694416865 6092529.8232965823 1504632.4262480468 2.9962682406
349830.0000000000 -1132914.9472044546 6092527.1594850458 1504632.1447746283 8.4450217236
349860.0000000000 -1132915.8163992898 6092528.4625852825 1504632.4762241815 7.7786453929
