time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.5389847388 6092527.0247167125 1504632.9110144807 0.4603055215 11.3140434823 1.2373739655 0.4348383054 0.6952237794 0.0000000000 -0.8646419941 -0.1893624119 -0.3539379540 0.3593680789 0.0533730815 0.9468616269 0.2027459666 -1.8285914180 -0.6901834040 0.0000000000 0.0000000000 
345630.0000000000 -1132915.8158068168 6092528.5569477100 1504633.9446547099 0.1760308837 11.3140434823 0.9842935315 0.0902284717 0.2610389227 -0.0000000000 -0.5137915766 0.1569182991 0.0127181011 -0.1328251671 -0.3108668405 0.8915047299 0.2443366992 -1.3535034435 -0.2972818208 0.0000000000 0.0000000000 
345660.0000000000 -1132916.3589208322 6092529.4667902710 1504632.9755060966 0.0107511155 11.3140434823 0.6138855935 0.2409090070 -0.8115042170 -0.0000000000 -1.0937449509 0.5563404873 0.5222364775 0.2764841398 -0.9786075712 0.8731263364 1.9075861867 -0.8619489415 -0.9061387506 0.0000000000 0.0000000000 
345690.0000000000 -1132914.5062141132 6092527.6204180140 1504633.2555302030 0.5144201182 11.1654816136 0.6697518587 1.0316953706 -1.3916396032 0.0000000000 -0.1922194350 0.0000000000 -0.0740700186 0.2053757188 1.3854035224 0.1879275035 0.4170027383 -2.1529184785 0.1285223706 0.0000000000 0.0000000000 
345720.0000000000 -1132914.2097268982 6092526.3234939529 1504634.7078211673 0.3329754557 11.3140434823 0.4273220203 0.7163800384 -0.3843587403 0.0000000000 -0.9681715979 2.9487998233 -0.5303418820 1.2607508708 -0.9863597356 0.9847971974 -0.6428610327 -1.7192403918 -0.9012307282 0.0000000000 0.0000000000 
345750.0000000000 -1132914.5348933488 6092528.1581832729 1504632.9716647388 0.2329967640 11.3140434823 -0.2740171027 0.9716250781 0.4033508633 -0.0000000000 1.1148478324 2.2016512431 0.0441511998 -0.3003154857 0.2170305468 0.0192760035 -2.9092699490 -1.2353340617 -0.4476581999 0.0000000000 0.0000000000 
345780.0000000000 -1132914.6363120237 6092528.6254633730 1504632.7259251061 0.0000892227 11.1654816136 0.7053242192 0.7234579751 0.8804955008 -0.0000000000 -0.0483114271 -1.8471471458 -0.2467652525 0.3191958071 2.0758815486 0.0000000000 -0.5053112832 -1.8650985638 -0.3760654762 0.0000000000 0.0000000000 
345810.0000000000 -1132914.2505300823 6092527.5268653855 1504633.8463150254 0.2921160527 11.3140434823 -0.4757506889 0.5439256499 1.7476193227 -0.0000000000 0.0189106985 0.0839282092 0.1578894863 0.6893766007 0.8262802812 0.4016549143 -1.6717025845 -1.0129746186 -1.5516252078 0.0000000000 0.0000000000 
345840.0000000000 -1132914.6156570436 6092529.0582093541 1504632.9831615859 0.0119177918 11.3140434823 -0.5019240410 1.0271332181 -0.7055318872 -0.0000000000 -0.3122640809 2.1198013057 0.1467088722 1.2572209179 0.6764837306 0.4405953052 -1.0393868892 -1.9424402476 -0.9857316956 0.0000000000 0.0000000000 
345870.0000000000 -1132915.0914310880 6092531.0129732816 1504632.3730986682 0.0435972711 11.3140434823 0.9122124458 0.7529380433 -0.2922166965 0.0000000000 0.4358948305 0.8411435106 0.8160499024 0.4072671715 0.9193942864 -0.2794758041 -1.2864711404 -2.9147222930 -0.3425969271 0.0000000000 0.0000000000 
345900.0000000000 -1132915.1055490738 6092528.6234009024 1504633.6385445024 0.0995285656 11.3140434823 -0.1130452748 0.6116887503 -0.4874032518 -0.0000000000 -0.5772280917 0.4916362676 -0.0770563881 0.7855859207 0.6557486659 0.4970628992 0.1723158117 -1.2099320812 -0.5816554351 0.0000000000 0.0000000000 
345930.0000000000 -1132915.1781248180 6092529.0460063387 1504633.4370395702 0.0080473031 11.3140434823 -0.2189354994 0.7666852375 -0.1346216025 -0.0000000000 -0.1945849280 1.6759181084 0.0867820445 0.9369609051 0.1287951114 0.1674208601 -0.9742451895 -1.2811188755 -0.8824984280 0.0000000000 0.0000000000 
345960.0000000000 -1132914.4436014798 6092528.0671218187 1504633.4175507212 0.0669412435 11.3140434823 0.6445740804 0.8481351627 0.4533466987 0.0000000000 0.0769950416 -0.8555912207 -0.2995681742 -0.3963040218 1.2290174105 0.5050306951 -0.4295140259 -1.5458029853 -0.3401356967 0.0000000000 0.0000000000 
345990.0000000000 -1132914.4319318396 6092527.7753976434 1504633.0859397459 0.0210772452 11.1654816136 1.4268755578 0.3396134471 0.2832713157 0.0000000000 -0.0329684973 0.0000000000 0.7366202047 -0.0842463632 -0.4885526764 -0.0851761605 0.1494820348 -1.6580092165 -0.5887479949 0.0000000000 0.0000000000 
346020.0000000000 -1132914.7219018759 6092528.7726291297 1504632.7735136256 0.0000201570 11.1654816136 0.5592787259 0.7047013581 -0.1154886899 0.0000000000 0.6168461638 1.7069163487 0.3517256631 -0.0767364458 0.1330881375 0.0000000000 -1.7787458049 -1.9817239255 -0.1948228136 0.0000000000 0.0000000000 
346050.0000000000 -1132915.0348284706 6092529.3501078673 1504633.2269935249 0.1856525425 11.3140434823 0.1513130427 0.6762215738 0.0534092977 0.0000000000 0.2719714415 1.3300452353 0.3971286157 0.2348994536 0.6262735768 0.4398807136 -1.5205060105 -2.1095506262 -0.5957109622 0.0000000000 0.0000000000 
346080.0000000000 -1132914.6395409878 6092527.1247313758 1504631.9334802965 0.0257056625 11.3140434823 1.3130489522 0.9243397465 0.1965267465 0.0000000000 -0.6421518064 0.0974066014 -0.0345407968 0.5793453290 0.5687118622 0.6523899545 -0.0576285330 -2.7173798171 -0.8247988024 0.0000000000 0.0000000000 
346110.0000000000 -1132915.1164881680 6092527.8892364409 1504632.8827596956 0.0484646819 11.3140434823 -0.3289616063 0.8362538871 -0.1175654746 -0.0000000000 -0.1270581200 -0.5380201290 0.4130814298 0.0288355437 1.5338113529 0.7710573826 0.0714080146 -1.5378695953 -0.9387464501 0.0000000000 0.0000000000 
346140.0000000000 -1132914.7871556613 6092527.9903830728 1504632.8376571268 0.0155673813 11.3140434823 1.4869151543 0.5856817235 0.7161975304 0.0000000000 0.2053907416 1.4777868402 -0.0932958413 -0.4011053474 -0.8211923504 0.5418887557 -1.4494190405 -1.9923206592 -0.3899758501 0.0000000000 0.0000000000 
346170.0000000000 -1132915.9579130078 6092528.0586532708 1504632.8826146808 0.0023179447 11.3140434823 0.2273603781 0.2961121102 -0.5486042634 0.0000000000 -0.0004793191 3.3030801697 0.8568769283 0.4499779427 -1.8265197707 0.2114347315 -0.8737046893 -1.1410627168 -0.7358946359 0.0000000000 0.0000000000 
346200.0000000000 -1132914.8811747250 6092529.4404929839 1504632.8566874289 0.0300074853 11.3140434823 1.2802733265 0.1845113133 -0.0649155192 -0.0000000000 -0.1059272970 1.4092226588 0.6729390350 0.1995029348 -1.0651107322 0.1604219070 -0.3593649154 -1.8281161963 -0.4055197443 0.0000000000 0.0000000000 
346230.0000000000 -1132915.6692029682 6092530.3626334919 1504632.5951202339 0.0000772199 11.3140434823 1.3897546243 1.0983204464 -0.7199486112 0.0000000000 -0.3719136647 0.7183624199 -0.0437374909 -0.5584787485 -0.9877168192 0.5680011796 0.9910401960 -1.3461400121 -0.4566782648 0.0000000000 0.0000000000 
346260.0000000000 -1132916.5682809076 6092526.8065131195 1504632.4028499150 0.3905092760 11.0041300577 0.0000000000 0.7270886756 0.5528072943 -0.0000000000 -1.0066469277 0.0000000000 0.5756613690 1.1279570987 0.0769538535 0.5984492518 0.7326141282 -1.2218832595 -1.9906182569 0.0000000000 0.0000000000 
346290.0000000000 -1132916.7468934613 6092529.8596785301 1504633.0005027908 0.1860696629 11.3140434823 0.2767205178 1.5841256407 -1.6223507156 0.0000000000 -0.7262057734 1.6964871793 -0.1822858622 0.0428472729 -1.1077632785 0.5146612437 1.4721444615 -0.5969403074 -0.7916432839 0.0000000000 0.0000000000 
346320.0000000000 -1132914.9205058753 6092527.5520118931 1504632.6020441880 0.0082140269 11.3140434823 0.6766050121 1.6307797913 -0.5272024600 0.0000000000 -0.0876509829 0.7500416594 -0.0309743976 -0.1895384254 -0.0996500504 0.0821820820 0.1984149871 -1.3328824406 -0.8834833269 0.0000000000 0.0000000000 
