time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.7181231207 6092527.1301118033 1504632.5391693255 0.1899675248 11.3140434823 0.0000000000 0.3588991757 0.7741889209 1.6881043982 -1.3584277412 0.0627084554 -0.2773808662 0.0512713736 0.3574596143 0.7073830355 0.1605614496 -1.7364633664 -0.7444721615 0.0000000000 0.0000000000 
345630.0000000000 -1132916.0073301096 6092528.5421463363 1504633.6975310985 0.1412289017 11.3140434823 -0.0000000000 0.0288457144 0.2871341101 1.0983772565 -0.8274046820 0.3497846365 0.0953355500 -0.3132666528 -0.0402358846 0.7767918097 0.1903390741 -1.2134326057 -0.3667023452 0.0000000000 0.0000000000 
345660.0000000000 -1132916.5426442511 6092529.3188322978 1504632.8867618919 0.0744043977 11.3140434823 0.0000000000 0.1997794428 -0.8445659723 0.3651974027 -1.1808875028 0.6669288811 0.5991454420 0.2504007534 -0.7709825518 0.9009011479 1.8473471800 -0.6865323919 -0.9872399335 0.0000000000 0.0000000000 
345690.0000000000 -1132914.4616021761 6092527.9615232022 1504632.8569199513 0.0252318011 11.1654816136 0.0000000000 0.9916784406 -1.1949948107 1.6152915019 -0.7166172112 0.0000000000 -0.0705855102 -0.1754270626 1.5314483499 -0.1731470822 0.5041702766 -2.2763209711 0.1941576156 0.0000000000 0.0000000000 
345720.0000000000 -1132914.1328067826 6092526.6949266465 1504634.4320765522 0.0044552800 11.3140434823 0.0000000000 0.7021944782 -0.2464656158 1.2705746794 -1.3903740515 3.0563983555 -0.5473976954 0.9611346933 -0.9693745169 0.6879214202 -0.6005283920 -1.8795195418 -0.8255668957 0.0000000000 0.0000000000 
345750.0000000000 -1132914.2389065928 6092528.7200491177 1504632.7882551034 0.0627827370 11.3140434823 0.0000000000 1.0043152684 0.5881860945 0.9018385744 0.7764371619 2.1807595071 -0.0626097078 -0.5832538198 -0.0095213189 -0.3234105403 -2.7961940327 -1.6086032199 -0.2732996680 0.0000000000 0.0000000000 
345780.0000000000 -1132914.9031935856 6092528.3649588479 1504632.6840929133 0.1173935363 11.1654816136 0.0000000000 0.6895125340 0.8003456605 0.2245216501 -0.0589972565 -1.7298094193 -0.1276694478 0.3713886977 2.3416074285 0.0000000000 -0.5994024750 -1.5856536707 -0.4881733991 0.0000000000 0.0000000000 
345810.0000000000 -1132913.8581361773 6092528.2323278813 1504633.6532307151 0.1313512338 11.3140434823 -0.0000000000 0.5932176053 1.9760268242 0.9646692285 -0.3593208019 0.0264570580 0.0190197906 0.3624569695 0.5068104064 -0.0055616455 -1.5270956131 -1.4941514790 -1.3231751054 0.0000000000 0.0000000000 
345840.0000000000 -1132914.3878096547 6092529.3559208391 1504632.9761010476 0.0728545533 11.3140434823 0.0000000000 1.0643504843 -0.6144471882 0.0924093866 -0.3757242505 2.0348539988 0.0582748689 1.1715592817 0.4576983595 0.2980394622 -0.9614616781 -2.1926220084 -0.8703475515 0.0000000000 0.0000000000 
345870.0000000000 -1132915.5092862432 6092530.4613239542 1504632.3898826395 0.2430268954 11.3140434823 0.0000000000 0.6852530999 -0.4621340681 -0.1885794377 0.5585125651 0.9971493979 0.9767453401 0.5688251800 1.3199257988 -0.0145829959 -1.4284149617 -2.4547627082 -0.5554106476 0.0000000000 0.0000000000 
