time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.4975555253 6092526.9487521276 1504632.6028785270 0.0867324205 11.3140434823 1.0075716386 0.1351419090 0.6805809376 1.5083627780 -1.2895183997 -0.1016519310 -0.5890346507 -0.0881027640 0.0970616959 0.5140812875 0.1852626701 -2.0611548445 0.0000000000 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7655980603 6092528.6369146211 1504633.7536539142 0.0134641567 11.3140434823 0.8171513358 -0.0291159122 0.2947145699 0.9214248688 -0.7907661358 0.2141991022 -0.0910985011 -0.3892745781 -0.3029411240 0.6367507348 0.2535660237 -1.5013257808 0.0000000000 0.0000000000 0.0000000000 
345660.0000000000 -1132916.5016949961 6092528.7250826685 1504632.9275129046 0.1991413738 11.3140434823 0.7274958132 -0.1953514310 -1.0736524640 0.3006755399 -1.0929346999 0.5502157298 0.2464082181 0.0831825374 -0.8640805263 0.7282370682 1.7824096333 -0.8749076698 -0.0000000000 0.0000000000 0.0000000000 
345690.0000000000 -1132914.2954681201 6092528.3361039665 1504632.8957093977 0.0158186536 11.1654816136 0.2777353263 1.1402298660 -1.0910544098 1.5116968408 -0.7293503141 0.0000000000 -0.0462605595 -0.1478657911 1.3521334439 -0.1935894756 0.5671458983 -2.4138730749 -0.0000000000 0.0000000000 0.0000000000 
345720.0000000000 -1132914.2308075146 6092526.0159189487 1504634.4424377589 0.1617380984 11.3140434823 0.2855437113 0.3220131866 -0.4952272812 1.3101774046 -1.3213079092 3.0149126329 -0.8107094558 0.8312480335 -0.9149031681 0.5867191177 -0.7048882758 -1.9098506218 -0.0000000000 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4954547468 6092528.1898910599 1504632.7489617090 0.0329732362 11.3140434823 -0.4499804804 0.7932554934 0.4124572352 1.0669666897 0.7909247161 2.2632747025 -0.0945838822 -0.6128733398 0.2345272861 -0.2825288637 -2.9147385335 -1.4033595147 -0.0000000000 0.0000000000 0.0000000000 
345780.0000000000 -1132914.7005726004 6092528.2861571582 1504632.7139957654 0.0355861023 11.1654816136 0.7639734067 0.5345425134 0.7597371059 0.0475515912 -0.0333418310 -1.8491166849 -0.3673835760 0.2471699818 2.1266447730 0.0000000000 -0.5577920360 -1.8645889300 0.0000000000 0.0000000000 0.0000000000 
345810.0000000000 -1132914.3984109033 6092526.6285338691 1504633.5964524203 0.5285687021 11.3140434823 -0.4834046774 -0.1554484817 1.4096431981 1.2986077065 -0.2700750946 0.1318860867 -0.3100127536 0.1814741957 0.9785337492 -0.0435681143 -1.8347601763 -1.1748361469 -0.0000000000 0.0000000000 0.0000000000 
345840.0000000000 -1132914.7683257100 6092528.2693813303 1504632.9335537748 0.2337178862 11.3140434823 -0.3819969975 0.5643218884 -0.9996260469 0.3317353416 -0.3203723229 2.1174970679 -0.1522072543 1.0549951130 0.7928711475 0.2805668733 -1.1721074350 -1.9585308073 0.0000000000 0.0000000000 0.0000000000 
345870.0000000000 -1132915.2068054678 6092530.4977690950 1504632.4716302138 0.0369519796 11.3140434823 1.0864671764 0.5692593933 -0.4792510161 -0.4040066071 0.6222963408 0.8062883424 0.7067030946 0.4640816466 0.9825118500 -0.2062046179 -1.3633285863 -2.8285733026 -0.0000000000 0.0000000000 0.0000000000 
345900.0000000000 -1132915.1313430888 6092528.4131909739 1504633.4912307572 0.0673036621 11.3140434823 -0.1788105200 0.3659281689 -0.5754177235 0.7262683636 -0.7790597667 0.5255339215 -0.2456948890 0.5379818278 0.6987042643 0.2709561882 0.1259782415 -1.3135908376 -0.0000000000 0.0000000000 0.0000000000 
345930.0000000000 -1132915.3153101336 6092528.3414072255 1504633.3968035781 0.1871414774 11.3140434823 -0.1097110109 0.3570971528 -0.4039246764 0.2854753117 -0.2008967859 1.6747505086 -0.1804480744 0.7627499307 0.2299486348 0.0264533548 -1.0924466706 -1.2939975952 0.0000000000 0.0000000000 0.0000000000 
345960.0000000000 -1132914.4394888871 6092528.0287602926 1504633.2957281980 0.0204073590 11.3140434823 0.5650617004 0.7148304320 0.4286845748 0.5805450171 -0.1025579634 -0.8260972532 -0.3925596871 -0.5795957185 1.2452232774 0.3346454900 -0.4473854229 -1.6343986752 0.0000000000 0.0000000000 0.0000000000 
345990.0000000000 -1132914.5005758815 6092527.3961140243 1504633.0154601003 0.0777373609 11.1654816136 1.4539431296 0.0774627353 0.1357961724 0.3712248128 -0.1072866614 0.0000000000 0.5633520448 -0.2450896434 -0.4271147862 -0.2250403016 0.0855945805 -1.6980295896 -0.0000000000 0.0000000000 0.0000000000 
346020.0000000000 -1132914.7567393437 6092528.5898168869 1504632.7732054382 0.0096727732 11.1654816136 0.5940056100 0.6089286518 -0.1842193015 0.0091003938 0.6309282515 1.7057635327 0.2884319801 -0.1062169266 0.1580608597 0.0000000000 -1.8059807968 -1.9784098899 0.0000000000 0.0000000000 0.0000000000 
346050.0000000000 -1132915.0323612567 6092529.2860040357 1504633.0224073757 0.0620887725 11.3140434823 0.0215947465 0.4480115745 0.0050890858 0.9692296590 -0.0348304630 1.3773837719 0.2419247123 -0.0751564684 0.6523147018 0.1544558643 -1.5546989858 -2.2572305360 -0.0000000000 0.0000000000 0.0000000000 
346080.0000000000 -1132914.7461231886 6092526.5657678712 1504631.8596170268 0.1551632486 11.3140434823 1.3697159828 0.5595108880 -0.0314350240 0.4340795535 -0.7182192988 0.1085832595 -0.2775809675 0.3801993834 0.6491803534 0.4790224481 -0.1567179456 -2.7600716739 0.0000000000 0.0000000000 0.0000000000 
346110.0000000000 -1132915.2277815333 6092527.3003835967 1504632.7804346157 0.1965226975 11.3140434823 -0.2859096167 0.4279834655 -0.3634582366 0.5736953632 -0.2467156208 -0.5203759950 0.1404655129 -0.2171083422 1.6198180907 0.5543578985 -0.0365660903 -1.6009327153 0.0000000000 0.0000000000 0.0000000000 
346140.0000000000 -1132914.8247759456 6092527.7861401988 1504632.7789263704 0.0323540761 11.3140434823 1.4862337741 0.4212983396 0.6265631962 0.3078712485 0.1272737597 1.4891572817 -0.2030762996 -0.5207815938 -0.7897759489 0.4350527425 -1.4902767771 -2.0310806150 -0.0000000000 0.0000000000 0.0000000000 
