time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.3752855901 6092527.8663586117 1504632.6294470597 0.0429772551 11.3140434823 0.8662279097 0.0000000000 0.9426318590 1.4633415780 -1.3960313503 -0.1150348858 -0.2703060923 0.0858650196 -0.0441792324 0.6399419660 0.2638885152 -2.0504460731 -0.3886278385 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7199956374 6092528.9241361683 1504633.7591275533 0.0016991098 11.3140434823 0.7677770272 -0.0000000000 0.3841133021 0.9023150179 -0.8213106227 0.2141210657 0.0067635172 -0.3368447509 -0.3465362307 0.6732271740 0.2865914823 -1.5024065150 -0.1919409839 0.0000000000 0.0000000000 
345660.0000000000 -1132916.3293583316 6092529.7525420021 1504632.9432934818 0.0137072645 11.3140434823 0.5446396093 -0.0000000000 -0.7427374176 0.2240532464 -1.1977021659 0.5543823044 0.5948469306 0.2675118630 -1.0186250904 0.8558529142 1.9109305973 -0.8840899029 -0.7781897574 0.0000000000 0.0000000000 
345690.0000000000 -1132914.3186269696 6092529.0332221175 1504632.9839318898 0.2482248476 11.1654816136 0.2402611083 0.0000000000 -1.0164506011 1.5444349136 -0.8337770838 0.0000000000 0.2189343611 0.0165753022 1.2090926560 -0.0384205989 0.4676172242 -2.3458711828 0.7216090005 0.0000000000 0.0000000000 
345720.0000000000 -1132914.0639620335 6092527.3736343924 1504634.4890384423 0.1205860066 11.3140434823 0.0874593554 0.0000000000 -0.1070379561 1.2386453112 -1.4712321383 2.9779495328 -0.3296751840 1.0893630578 -1.1222488874 0.7886485828 -0.6082354230 -1.8834528402 -0.4744597580 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4044232185 6092529.3675229046 1504632.8133999477 0.2230636790 11.3140434823 -0.5839676703 0.0000000000 0.7020518492 1.0354260681 0.6499534575 2.1944442575 0.3391963021 -0.3742320777 0.0501386929 -0.0788122681 -2.8955192664 -1.3469799297 0.0815794502 0.0000000000 0.0000000000 
345780.0000000000 -1132914.6251455813 6092529.2865587920 1504632.7933294894 0.1271930638 11.1654816136 0.6649957067 -0.0000000000 1.0072652363 0.0511428856 -0.1170747819 -1.9176731837 0.0152219282 0.4817173021 1.9652882341 0.0000000000 -0.5417376745 -1.8016265213 -0.0261020165 0.0000000000 0.0000000000 
345810.0000000000 -1132914.1195310873 6092528.4174415981 1504633.6323816269 0.0698198943 11.3140434823 -0.7844703563 0.0000000000 1.9897233984 1.1537935233 -0.4419031325 0.1143607807 0.3123183417 0.5010988512 0.7145350462 0.2016348075 -1.6396820597 -1.1744033446 -1.2040361769 0.0000000000 0.0000000000 
345840.0000000000 -1132914.5686082304 6092530.0315938378 1504633.0043143756 0.2497363836 11.3140434823 -0.6260879043 0.0000000000 -0.4945774333 0.2328716263 -0.5026138202 2.0474871812 0.4836035223 1.3918398208 0.5253273769 0.5635680916 -1.0711222926 -1.9113146432 -0.5002941808 0.0000000000 0.0000000000 
345870.0000000000 -1132915.1203934592 6092531.4924007254 1504632.5246970973 0.1339285419 11.3140434823 0.9670446369 -0.0000000000 -0.2168364015 -0.4448523901 0.5164214727 0.7472965176 1.0737588946 0.6622202545 0.8286711528 -0.0308324763 -1.3388275172 -2.7853771152 -0.0448232753 0.0000000000 0.0000000000 
