time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.3904272905 6092527.4807074424 1504632.5985598527 0.0000522906 11.3140434823 0.9030595339 0.4217292848 0.8717143634 1.4602266247 -1.3416976438 -0.0788361381 -0.4117753492 0.0027331984 -0.0000000000 0.5698871332 0.2789192092 -2.0740929282 -0.5885675102 0.0000000000 0.0000000000 
345630.0000000000 -1132915.6616336943 6092529.0077887606 1504633.8614815667 0.0246058327 11.3140434823 0.6552666866 0.1280639711 0.3171216941 0.8927813767 -0.7807409386 0.0684199712 -0.0490228162 -0.3091626974 0.0000000000 0.6774995102 0.2273419420 -1.5984244293 -0.1912507104 0.0000000000 0.0000000000 
345660.0000000000 -1132916.1580370576 6092530.0046916138 1504633.2438435219 0.2130612717 11.3140434823 0.2127601565 0.3683030721 -0.9366273408 0.1956221458 -1.0797741256 0.1254096735 0.4333441037 0.3498988886 -0.0000000000 0.8685811965 1.7354384689 -1.1653497314 -0.7728094282 0.0000000000 0.0000000000 
345690.0000000000 -1132914.6104293191 6092527.0916907070 1504632.1511566706 0.5102397568 11.1654816136 1.0225123220 0.7543353101 -0.7144038423 1.5367130925 -0.8551645362 0.0000000000 0.0376393632 -0.4843228715 -0.0000000000 -0.3757092424 1.0936103071 -1.8841121733 0.0669612019 0.0000000000 0.0000000000 
345720.0000000000 -1132913.8995198770 6092527.2253768053 1504634.7680882351 0.2291658408 11.3140434823 -0.2245553846 0.8449568838 -0.3855661751 1.2063658312 -1.2946872155 2.5693592003 -0.6527548499 1.0854974212 -0.0000000000 0.7202803295 -0.7759016127 -2.2050902654 -0.6830966668 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4618220560 6092528.4334696624 1504632.6894904329 0.0076514719 11.3140434823 -0.4503349510 0.9443941096 0.5599482474 1.0379505365 0.7449575254 2.3555843543 0.0307190100 -0.5816016600 -0.0000000000 -0.2553840092 -2.8247041641 -1.3631968937 -0.3836152635 0.0000000000 0.0000000000 
345780.0000000000 -1132914.9947183458 6092527.6651187232 1504632.0430003193 0.9470187609 11.1654816136 1.4235153570 0.4369350965 1.1942600824 0.0579024540 -0.2637200856 -0.8918221433 -0.0869909613 0.0256355150 0.0000000000 0.0000000000 -0.0990879363 -1.3299920749 -0.6204634758 0.0000000000 0.0000000000 
345810.0000000000 -1132914.2715842279 6092527.5833811704 1504633.3450813314 0.1370667025 11.3140434823 -0.4674128008 0.4400495753 2.0089193774 1.1775087064 -0.4548942442 0.5180152995 0.1976961248 0.2989432101 -0.0000000000 0.0669920224 -1.4662332022 -1.0022960683 -1.5398695403 0.0000000000 0.0000000000 
345840.0000000000 -1132914.7091856827 6092528.8386734920 1504632.7213814177 0.0981093154 11.3140434823 -0.3198855567 0.9403657801 -0.5798189598 0.2536680914 -0.4553436691 2.4382851156 0.1982531147 1.1144009474 0.0000000000 0.3484655074 -0.8993767062 -1.8058507555 -1.0396648966 0.0000000000 0.0000000000 
345870.0000000000 -1132915.2997821253 6092530.4206807688 1504632.1776178346 0.1909643055 11.3140434823 1.3478188967 0.6318725494 -0.2176719832 -0.4143923673 0.5075951591 1.2362366036 0.9027672282 0.4043130841 0.0000000000 -0.2105914569 -1.1249762525 -2.5920777354 -0.4872192452 0.0000000000 0.0000000000 
345900.0000000000 -1132915.1471953704 6092528.5947986897 1504633.2916879437 0.0878650342 11.3140434823 -0.0475856364 0.5308361252 -0.3112636426 0.6912728760 -0.8757520482 0.8210833415 -0.0334614470 0.5352180609 0.0000000000 0.2960620676 0.3261768354 -1.1596670802 -0.5875253546 0.0000000000 0.0000000000 
345930.0000000000 -1132915.1798953663 6092529.0655482514 1504633.3564719143 0.0032747682 11.3140434823 -0.2208021389 0.7513392423 -0.0926223837 0.1944984372 -0.2746938088 1.7431927284 0.0948286299 0.8727931593 0.0000000000 0.1132251169 -0.9417988933 -1.2820923766 -0.8772488738 0.0000000000 0.0000000000 
345960.0000000000 -1132914.5959712160 6092527.7444864204 1504632.9180846794 0.3201982798 11.3140434823 0.9422866390 0.6941796561 0.6911259991 0.5896087740 -0.2355435841 -0.2735891312 -0.2014828980 -0.6864916490 0.0000000000 0.3104640842 -0.1662619539 -1.3253910257 -0.4155704151 0.0000000000 0.0000000000 
345990.0000000000 -1132914.3104850317 6092528.2465296453 1504633.2707573869 0.0641796120 11.1654816136 1.1052644163 0.4361243996 0.1812113417 0.2997673367 -0.0918052875 0.0000000000 0.6768342775 -0.0656357467 -0.0000000000 -0.1142426277 -0.0428719990 -1.8900930234 -0.4961756337 0.0000000000 0.0000000000 
346020.0000000000 -1132914.7453420346 6092528.7092654919 1504632.7337954810 0.0038892951 11.1654816136 0.6083928884 0.6870290017 -0.0989364768 -0.0057902624 0.6073823190 1.7671808904 0.3628480434 -0.0910305922 0.0000000000 0.0000000000 -1.7521168692 -1.9458999669 -0.2102179690 0.0000000000 0.0000000000 
346050.0000000000 -1132915.0436057956 6092529.4709785786 1504632.8375004898 0.0767207938 11.3140434823 0.1436912163 0.6052118605 0.2556791522 0.9309022408 -0.1239473000 1.6514940307 0.4469649447 -0.0765300823 0.0000000000 0.1841569611 -1.3637589133 -2.1146729272 -0.5599909681 0.0000000000 0.0000000000 
346080.0000000000 -1132914.6992888176 6092527.0258237831 1504631.6851958567 0.0674649810 11.3140434823 1.4286441836 0.8555068128 0.3151571038 0.3582774907 -0.8222301738 0.3685127615 0.0141954892 0.4232285138 -0.0000000000 0.5435735626 0.0685452307 -2.6331303281 -0.8451030242 0.0000000000 0.0000000000 
346110.0000000000 -1132915.3242754561 6092527.4312365549 1504632.3111019847 0.5013446020 11.3140434823 0.0953432217 0.6467423107 0.1405904360 0.5196191810 -0.4474300413 0.1742682150 0.5473422419 -0.2746684600 0.0000000000 0.5915924433 0.3981926666 -1.2297587277 -1.0415638551 0.0000000000 0.0000000000 
346140.0000000000 -1132914.6222538331 6092528.4653110811 1504633.0317080554 0.1507036032 11.3140434823 1.1306283544 0.6928049956 0.6484563868 0.2310249007 0.1843036531 1.1160372836 -0.1645327631 -0.3738703295 0.0000000000 0.5095974931 -1.6092486983 -2.2506165252 -0.2758986556 0.0000000000 0.0000000000 
346170.0000000000 -1132915.6439824395 6092528.8903421322 1504633.4179184593 0.7301568967 11.3140434823 -0.4426336110 0.5279716746 -0.7617711095 0.0311629109 0.1360508809 2.4805948955 0.6964085026 0.6366575731 0.0000000000 0.2586873497 -1.2461008714 -1.6251549176 -0.5411537068 0.0000000000 0.0000000000 
