time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132916.1584534186 6092529.2403574223 1504631.9099988907 0.6629132544 11.3140434823 0.9397648513 0.6958576086 0.7158636026 0.7137355744 0.0000000000 -0.0989998758 0.1427870599 -0.6719414661 0.2151975007 0.0971355626 -0.6151615184 -1.8179760016 -0.4168510720 0.0000000000 0.0000000000 
345630.0000000000 -1132916.1880393801 6092529.9041784275 1504633.3356316497 0.2419546430 11.3140434823 0.8015798003 0.2447258456 0.2769292027 0.4479987611 0.0000000000 0.2120802156 0.3140494807 -0.7631208007 -0.2138339497 0.3772449106 -0.2477694510 -1.3507766809 -0.1301002342 0.0000000000 0.0000000000 
345660.0000000000 -1132917.0059700217 6092531.0536282556 1504632.3274120509 0.5012306383 11.3140434823 0.6046189976 0.4648517066 -0.9176010601 -0.4346333834 0.0000000000 0.5600007881 0.9971085274 -0.3703436666 -0.8102098665 0.4157438090 1.1479223130 -0.6740236796 -0.7459820701 0.0000000000 0.0000000000 
345690.0000000000 -1132914.7487625708 6092529.0247412398 1504632.5357852925 0.1842114213 11.1654816136 0.3501087460 1.1517767689 -1.2572329991 1.1342015204 0.0000000000 0.0000000000 0.1701357095 -0.5453596456 1.4868712162 -0.4563334539 0.0587524342 -2.2712119421 0.3360659426 0.0000000000 0.0000000000 
345720.0000000000 -1132914.8758038399 6092528.5290302448 1504633.7336326994 0.7038904644 11.3140434823 0.1950316773 0.9650218980 -0.3893341054 0.4473033260 0.0000000000 3.0180392122 0.0030234216 0.2483371806 -0.8134193335 0.2069934668 -1.4913490997 -1.6642679249 -0.6372369320 0.0000000000 0.0000000000 
345750.0000000000 -1132913.9932792147 6092527.5466540400 1504633.1369341845 0.2119850304 11.3140434823 -0.5499011097 0.8334938303 0.6187470326 1.4676869605 -0.0000000000 2.2790673753 -0.2979171941 -0.1692660015 0.0720581488 0.0029080898 -2.3633136791 -1.5595979663 -0.4509538157 0.0000000000 0.0000000000 
345780.0000000000 -1132914.6665173033 6092528.7073896835 1504632.6867749726 0.0012294237 11.1654816136 0.7000856554 0.7301462555 0.8775419815 -0.0191950736 -0.0000000000 -1.8440703618 -0.2257464189 0.2779886419 2.0853948291 0.0000000000 -0.5413476489 -1.8604211520 -0.3694254059 0.0000000000 0.0000000000 
345810.0000000000 -1132914.3501897804 6092528.4308718834 1504633.4013274228 0.0532536312 11.3140434823 -0.7289258129 0.6066610778 1.8507105305 0.9325536257 -0.0000000000 0.1551767676 0.2879982559 0.2028723033 0.8486128965 -0.0147165830 -1.8656269232 -1.1385488803 -1.4074983904 0.0000000000 0.0000000000 
345840.0000000000 -1132914.8158235266 6092529.6403380204 1504632.7336367192 0.0563006928 11.3140434823 -0.5368301071 1.0908852263 -0.7204531351 0.0045687016 0.0000000000 2.1304006487 0.3027026804 0.9964490193 0.7288747452 0.2587426231 -1.2823998619 -1.9073340984 -0.9213254623 0.0000000000 0.0000000000 
345870.0000000000 -1132914.8001061755 6092530.1022950560 1504632.7688774536 0.1274073820 11.3140434823 0.9858062289 0.6596630857 -0.2823063127 -0.0994956882 0.0000000000 0.8195736261 0.5825289319 0.8248694760 0.8435863657 0.0151749285 -0.9261793898 -2.9510006781 -0.4478710472 0.0000000000 0.0000000000 
