time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.3872827955 6092527.4887114828 1504632.6048485141 0.0000048380 11.3140434823 0.8975512019 0.4246353216 0.8691143360 1.4609223971 -1.3389078267 -0.0867139897 -0.4126854224 -0.0000000000 0.0155481061 0.5719043033 0.2760152715 -2.0781968337 -0.5859998531 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7367949565 6092528.8248833986 1504633.6749418029 0.0254625941 11.3140434823 0.7582200484 0.0267106767 0.3721820327 0.8203620537 -0.9096159197 0.2610416134 -0.0508682833 -0.0000000000 -0.2916250372 0.5775177092 0.2852348145 -1.5275957780 -0.2762021341 0.0000000000 0.0000000000 
345660.0000000000 -1132916.3268129278 6092529.5551380720 1504632.9778546481 0.0100637512 11.3140434823 0.5716384773 0.2758627051 -0.7860887852 0.2738672052 -1.1051185642 0.5459919519 0.5324798536 0.0000000000 -1.0114632446 0.8671416847 1.9208968499 -0.8877999294 -0.8612014316 0.0000000000 0.0000000000 
345690.0000000000 -1132914.3490644230 6092528.0897253016 1504632.8489988218 0.0071652043 11.1654816136 0.3181971595 0.9862831065 -1.1674778924 1.4897153613 -0.7618503656 0.0000000000 -0.1367411168 -0.0000000000 1.4147203698 -0.2634380704 0.5323493198 -2.4158573725 0.2273521965 0.0000000000 0.0000000000 
345720.0000000000 -1132914.0432252581 6092526.8071240112 1504634.6562752577 0.1862188257 11.3140434823 0.1788520721 0.8673638711 -0.2374659261 1.4576966566 -1.1153158699 2.9217115735 -0.4919888101 -0.0000000000 -1.1358115679 0.8868000911 -0.5739157901 -1.8784646894 -0.6827849979 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4513980302 6092528.4872844908 1504632.6238061974 0.0636243845 11.3140434823 -0.5404377731 0.8777919538 0.5352868296 0.9023198546 0.6025849069 2.3357335069 -0.0287286489 -0.0000000000 0.2531056912 -0.3738684564 -2.8654465506 -1.4441618128 -0.4311552704 0.0000000000 0.0000000000 
345780.0000000000 -1132914.6257227610 6092528.6558968620 1504632.8075604013 0.0210843529 11.1654816136 0.7232966851 0.7873344578 0.8779570783 0.1142401063 0.0512469131 -1.8907919736 -0.2132184824 -0.0000000000 2.0330769157 0.0000000000 -0.5064818592 -1.8410684343 -0.3281448595 0.0000000000 0.0000000000 
345810.0000000000 -1132914.1159118437 6092527.9681865014 1504633.6843611991 0.0325076070 11.3140434823 -0.7306921941 0.6076426065 1.8923548170 1.2467650595 -0.2680175911 0.1130808682 0.1620124911 0.0000000000 0.7438182074 0.1971821804 -1.6146163472 -1.1895081828 -1.4019237196 0.0000000000 0.0000000000 
345840.0000000000 -1132914.5427868466 6092529.2061427608 1504633.2011788341 0.2937582789 11.3140434823 -0.5068386671 1.2222821883 -0.6805979049 0.5148835695 -0.0478064425 1.9955520884 0.2325663100 -0.0000000000 0.5289574540 0.6540009760 -1.0185736359 -1.9153537866 -0.8198111141 0.0000000000 0.0000000000 
345870.0000000000 -1132915.1155164703 6092530.8706550272 1504632.5878731376 0.0554551697 11.3140434823 1.0387685790 0.8374637946 -0.3516381804 -0.3213327630 0.7445146653 0.7522985621 0.8627308396 -0.0000000000 0.8732112081 -0.0476074964 -1.3023471542 -2.8086682319 -0.3212155402 0.0000000000 0.0000000000 
