time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.4237436920 6092527.5123365633 1504632.7071702839 0.0648429634 11.3140434823 0.9706412095 0.5013351520 0.8387600791 1.5953040797 -1.2314792159 -0.1411812712 -0.3474950108 0.1339589034 -0.0123515409 0.0000000000 0.2400867116 -2.0063703153 -0.5430617399 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7651376801 6092528.8791509997 1504633.8726302672 0.0864719990 11.3140434823 0.8583369363 0.1749281232 0.3347472257 1.0577028430 -0.6865646057 0.1565714840 0.0547915852 -0.2042416088 -0.3669849556 0.0000000000 0.2464985431 -1.4242389509 -0.1803795913 0.0000000000 0.0000000000 
345660.0000000000 -1132916.3899377247 6092529.5802214229 1504633.0741851537 0.1323383297 11.3140434823 0.6660569897 0.3531404025 -0.8269541079 0.4149539344 -1.0165024454 0.4933135003 0.6096355210 0.4053189491 -1.0241574991 -0.0000000000 1.8642991893 -0.7958429487 -0.8258340918 0.0000000000 0.0000000000 
345690.0000000000 -1132914.3265220674 6092528.0905111348 1504632.8522858659 0.0095272770 11.1654816136 0.2983082256 0.9861007098 -1.1576254126 1.4817653924 -0.7486806697 0.0000000000 -0.1474443027 -0.2375950267 1.4022576095 0.0000000000 0.5490500740 -2.4337243628 0.2337435722 0.0000000000 0.0000000000 
345720.0000000000 -1132914.1283017115 6092526.7856624657 1504634.5603909234 0.0884246075 11.3140434823 0.2223068998 0.8067674266 -0.2655262127 1.3919507972 -1.2665490372 2.9686180353 -0.4888684175 1.1034134788 -1.0530102426 -0.0000000000 -0.6301535652 -1.8453604343 -0.7489235413 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4112741048 6092528.5056113340 1504632.7056520581 0.0119989192 11.3140434823 -0.5476632585 0.9333056206 0.5444997723 0.9751120000 0.7182189192 2.2944556960 -0.0142576955 -0.6125436293 0.1981272572 0.0000000000 -2.8424384374 -1.4450045930 -0.3817816800 0.0000000000 0.0000000000 
345780.0000000000 -1132914.9947183458 6092527.6651187232 1504632.0430003193 0.9470187609 11.1654816136 0.6997519027 0.7226398937 0.8833820058 0.0195772696 -0.0564300382 -1.8452559488 -0.2479412454 0.3127896244 2.0754980904 0.0000000000 -0.5039379663 -1.8693842898 -0.3747218206 0.0000000000 0.0000000000 
345810.0000000000 -1132914.1399967170 6092527.9537036400 1504633.6133336697 0.0022347668 11.3140434823 -0.7340954418 0.5583213527 1.8889887847 1.1777303721 -0.3644642169 0.1492699049 0.1443891537 0.4221374525 0.7859575423 0.0000000000 -1.6261591593 -1.1978633372 -1.4418706206 0.0000000000 0.0000000000 
345840.0000000000 -1132914.6202779477 6092529.1710310113 1504632.9978993291 0.0287922241 11.3140434823 -0.5088884004 1.0837997283 -0.6941174847 0.3204503994 -0.3293559849 2.0984208049 0.1888032669 1.2823631777 0.6523389797 -0.0000000000 -1.0582409164 -1.9321029396 -0.9334312311 0.0000000000 0.0000000000 
345870.0000000000 -1132915.1242172357 6092530.8330122186 1504632.4425263938 0.0054541177 11.3140434823 0.9964336344 0.7277136367 -0.3418415151 -0.4824325920 0.5657820848 0.8286419398 0.8033654744 0.4840738709 0.9409602450 0.0000000000 -1.2934160110 -2.8600456706 -0.3974805634 0.0000000000 0.0000000000 
345900.0000000000 -1132915.0624434142 6092528.9062547926 1504633.5456404036 0.0210435983 11.3140434823 -0.2309826330 0.6621785037 -0.4151085067 0.7449994087 -0.7635591298 0.5027199151 -0.0464382373 0.6851017856 0.6196632651 0.0000000000 0.1757690404 -1.2822162791 -0.4906840008 0.0000000000 0.0000000000 
345930.0000000000 -1132915.1681420850 6092529.1300915591 1504633.4148048889 0.0027995548 11.3140434823 -0.2492285191 0.7853638282 -0.1150241183 0.2174596871 -0.2440699358 1.6763890184 0.0994019815 0.9138344094 0.1173691778 0.0000000000 -0.9757488694 -1.2980490853 -0.8539029417 0.0000000000 0.0000000000 
345960.0000000000 -1132914.4173303854 6092528.3162768278 1504633.3564038374 0.0264462357 11.3140434823 0.5599037241 0.9064620705 0.5096345221 0.6312199636 -0.0644733555 -0.8569131787 -0.2584531840 -0.4589785755 1.1950006089 0.0000000000 -0.4368085656 -1.5912555559 -0.2542017398 0.0000000000 0.0000000000 
345990.0000000000 -1132914.3855348257 6092527.8745242981 1504632.9795636775 0.0054383563 11.1654816136 1.3380453838 0.3120973144 0.3408327276 0.2685598372 -0.1719964582 0.0000000000 0.7139628262 -0.2043761213 -0.4794612735 -0.0000000000 0.1888766232 -1.7309304180 -0.5712452334 0.0000000000 0.0000000000 
346020.0000000000 -1132914.7453420346 6092528.7092654919 1504632.7337954810 0.0038892951 11.1654816136 0.5619071110 0.7050492375 -0.1169210284 -0.0091874055 0.6208381783 1.7061045905 0.3520878981 -0.0736433295 0.1333413140 0.0000000000 -1.7793728783 -1.9796923481 -0.1956290709 0.0000000000 0.0000000000 
346050.0000000000 -1132914.9610064193 6092529.7514759181 1504633.0551272926 0.0086952426 11.3140434823 -0.0397305692 0.7143761276 0.1688221174 0.9564470874 -0.0361401158 1.3630436024 0.4229911352 0.0397875875 0.5846023604 -0.0000000000 -1.5020556264 -2.2387163730 -0.4797905749 0.0000000000 0.0000000000 
346080.0000000000 -1132914.6545744841 6092527.3247088315 1504631.9494066304 0.0636006847 11.3140434823 1.3025179239 1.0177536462 0.2186780396 0.4639483963 -0.6847349409 0.0627945423 0.0404807833 0.6114161889 0.5343471413 0.0000000000 -0.0963991900 -2.6973026192 -0.7376072113 0.0000000000 0.0000000000 
346110.0000000000 -1132915.1275829668 6092528.1570077688 1504632.8831769559 0.0846585918 11.3140434823 -0.3589620056 0.9457509159 -0.0808300822 0.6080315353 -0.2069468737 -0.5742145569 0.5017606828 0.0450637498 1.4915425101 0.0000000000 0.0280407734 -1.5270018574 -0.8284223619 0.0000000000 0.0000000000 
346140.0000000000 -1132914.8035304989 6092528.1563505493 1504632.8543391062 0.0447924472 11.3140434823 1.4828266195 0.6657286420 0.7331131128 0.3669014400 0.1737361127 1.4469847818 -0.0277906179 -0.3700706068 -0.8489136997 0.0000000000 -1.4850501214 -1.9710040429 -0.3170970556 0.0000000000 0.0000000000 
346170.0000000000 -1132915.9647829384 6092528.1243046774 1504632.8891761734 0.0068463975 11.3140434823 0.2260514945 0.3277354429 -0.5419497337 0.1417397655 -0.0130534215 3.2908485969 0.8829808916 0.4622022858 -1.8372361412 -0.0000000000 -0.8881325425 -1.1323212568 -0.7071739986 0.0000000000 0.0000000000 
346200.0000000000 -1132914.9404616023 6092529.3036608174 1504632.9814390067 0.0124836254 11.3140434823 1.3985361366 0.2235476229 -0.1273376124 -0.3084966640 0.0706119863 1.3660931618 0.7027419741 0.3517722876 -1.0592652109 -0.0000000000 -0.3980411562 -1.7288319935 -0.4260023619 0.0000000000 0.0000000000 
