time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.3912476518 6092527.5137182735 1504632.6275098894 0.0013999289 11.3140434823 0.8859095382 0.4284698060 0.8456378312 1.4651233548 -1.3406890620 0.0000000000 -0.4155572285 0.0140873710 -0.0173243642 0.5786452787 0.2477369487 -2.0867054374 -0.5883279205 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7127010114 6092528.7839616574 1504633.6932958306 0.0091221801 11.3140434823 0.8033699802 0.0721097953 0.4291633089 0.8882987481 -0.8093782936 -0.0000000000 -0.0153670187 -0.3764815571 -0.2491037037 0.6392444136 0.3614994569 -1.4869872584 -0.2270130477 0.0000000000 0.0000000000 
345660.0000000000 -1132916.3106975879 6092529.3695740746 1504632.7707900309 0.0615155983 11.3140434823 0.6391796331 0.2069586090 -0.6303111296 0.1882148700 -1.1647488587 -0.0000000000 0.5303864667 0.1607302826 -0.7626968302 0.7638070300 2.1072995110 -0.8455459951 -0.8789387706 0.0000000000 0.0000000000 
345690.0000000000 -1132914.7487625708 6092529.0247412398 1504632.5357852925 0.1842114213 11.1654816136 0.3234343894 1.0182962745 -1.1745979947 1.5346907712 -0.7086128244 0.0000000000 -0.1221240717 -0.1860349857 1.3835676622 -0.2179981144 0.5270300878 -2.4074586947 0.2506461381 0.0000000000 0.0000000000 
345720.0000000000 -1132913.9474932610 6092525.8292003954 1504633.6088117105 1.7267148580 11.3140434823 0.5554404046 0.5280016252 0.5761168566 1.0586074201 -1.3703406905 -0.0000000000 -0.4843833937 0.6306461718 0.1542848739 0.3922010637 0.4256167120 -1.6427888381 -0.7517987088 0.0000000000 0.0000000000 
345750.0000000000 -1132914.3271938984 6092527.8268511640 1504632.1250317760 0.9671601223 11.3140434823 -0.2006920622 0.8273085367 1.1332369741 0.9017718652 0.7743593295 -0.0000000000 0.0773466868 -0.7998391412 1.0668551474 -0.4514168796 -2.1016448461 -1.1969427796 -0.3264699602 0.0000000000 0.0000000000 
345780.0000000000 -1132914.7293734467 6092529.2153666643 1504633.2607778218 0.6434339072 11.1654816136 0.4597978914 0.8661051925 0.3854515175 0.1641329524 -0.0374573365 0.0000000000 -0.2781016502 0.5483453691 1.3468788658 0.0000000000 -1.1404486253 -2.0242309104 -0.3888970154 0.0000000000 0.0000000000 
345810.0000000000 -1132914.1250376538 6092527.8973277016 1504633.5511889602 0.0047560597 11.3140434823 -0.7249066824 0.5322442111 1.9358545390 1.1442768604 -0.3818430810 -0.0000000000 0.1357416587 0.3816784383 0.8524243424 0.0917554825 -1.5644729160 -1.1967159721 -1.4482665334 0.0000000000 0.0000000000 
345840.0000000000 -1132914.4950755991 6092528.4791056039 1504632.3470616573 0.8518786391 11.3140434823 -0.2518956965 0.8837316252 -0.1212753330 0.1155145120 -0.3816447016 -0.0000000000 0.1988287330 0.9715278703 1.4949778645 0.1887329656 -0.3073924946 -1.7803079959 -0.9362102470 0.0000000000 0.0000000000 
345870.0000000000 -1132915.0997938015 6092530.5901298979 1504632.2483435397 0.1233491269 11.3140434823 1.1343581928 0.6968007758 -0.1400338665 -0.4882011792 0.5983009159 -0.0000000000 0.8453680403 0.4343856897 1.2479836892 -0.2389869160 -1.0308848650 -2.7610269041 -0.3734474911 0.0000000000 0.0000000000 
345900.0000000000 -1132915.0127219660 6092528.7126393812 1504633.3440485795 0.0531447531 11.3140434823 -0.1942422408 0.5751111204 -0.2628997791 0.6422383506 -0.8140238256 -0.0000000000 -0.0732201101 0.5570895317 0.8397620651 0.2779399743 0.3839816304 -1.2755038474 -0.5116349577 0.0000000000 0.0000000000 
345930.0000000000 -1132915.0809641334 6092528.5840400811 1504632.9331568398 0.5306391904 11.3140434823 -0.0168127314 0.6458523058 0.3203640540 0.1025714458 -0.2531439601 0.0000000000 0.1281159954 0.7094120717 0.7738318151 -0.0324772511 -0.3890228556 -1.1549308224 -0.8451182138 0.0000000000 0.0000000000 
